Epoch 0: Loss = 3.1780, Accuracy = 34.00%
Epoch 0: Loss = 3.2682, Accuracy = 25.00%
Epoch 0: Loss = 3.1877, Accuracy = 33.00%
Epoch 0: Loss = 3.2398, Accuracy = 28.00%
Epoch 0: Loss = 3.3091, Accuracy = 21.00%
Epoch 0: Loss = 3.1869, Accuracy = 33.00%
Epoch 0: Loss = 3.2876, Accuracy = 23.00%
Epoch 0: Loss = 3.1664, Accuracy = 35.00%
Epoch 0: Loss = 3.1874, Accuracy = 33.00%
Epoch 0: Loss = 3.2273, Accuracy = 29.00%
Epoch 0: Loss = 3.2178, Accuracy = 30.00%
Epoch 0: Loss = 3.2376, Accuracy = 28.00%
Epoch 0: Loss = 3.2973, Accuracy = 22.00%
Epoch 0: Loss = 3.2076, Accuracy = 31.00%
Epoch 0: Loss = 3.2221, Accuracy = 30.00%
Epoch 0: Loss = 3.2276, Accuracy = 29.00%
Epoch 0: Loss = 3.1877, Accuracy = 33.00%
Epoch 0: Loss = 3.2472, Accuracy = 27.00%
Epoch 0: Loss = 3.2719, Accuracy = 24.00%
Epoch 0: Loss = 3.2772, Accuracy = 24.00%
Epoch 0: Loss = 3.2224, Accuracy = 30.00%
Epoch 0: Loss = 3.2974, Accuracy = 22.00%
Epoch 0: Loss = 3.3067, Accuracy = 21.00%
Epoch 0: Loss = 3.1770, Accuracy = 34.00%
Epoch 0: Loss = 3.2179, Accuracy = 30.00%
Epoch 0: Loss = 3.2277, Accuracy = 29.00%
Epoch 0: Loss = 3.2301, Accuracy = 29.00%
Epoch 0: Loss = 3.2013, Accuracy = 31.00%
Epoch 0: Loss = 3.2379, Accuracy = 28.00%
Epoch 0: Loss = 3.1972, Accuracy = 32.00%
Epoch 0: Loss = 3.2072, Accuracy = 31.00%
Epoch 0: Loss = 3.2073, Accuracy = 31.00%
Epoch 0: Loss = 3.1894, Accuracy = 33.00%
Epoch 0: Loss = 3.2183, Accuracy = 30.00%
Epoch 0: Loss = 3.3481, Accuracy = 17.00%
Epoch 0: Loss = 3.2675, Accuracy = 25.00%
Epoch 0: Loss = 3.2280, Accuracy = 29.00%
Epoch 0: Loss = 3.2699, Accuracy = 25.00%
Epoch 0: Loss = 3.3078, Accuracy = 21.00%
Epoch 0: Loss = 3.2281, Accuracy = 29.00%
Epoch 0: Loss = 3.2866, Accuracy = 23.00%
Epoch 0: Loss = 3.1985, Accuracy = 32.00%
Epoch 0: Loss = 3.2672, Accuracy = 25.00%
Epoch 0: Loss = 3.1565, Accuracy = 36.00%
Epoch 0: Loss = 3.2179, Accuracy = 30.00%
Epoch 0: Loss = 3.2685, Accuracy = 25.00%
Epoch 0: Loss = 3.2010, Accuracy = 32.00%
Epoch 0: Loss = 3.3064, Accuracy = 21.00%
Epoch 0: Loss = 3.1966, Accuracy = 32.00%
Epoch 0: Loss = 3.3051, Accuracy = 21.00%
Epoch 0: Loss = 3.2583, Accuracy = 26.00%
Epoch 0: Loss = 3.2225, Accuracy = 30.00%
Epoch 0: Loss = 3.2390, Accuracy = 28.00%
Epoch 0: Loss = 3.2855, Accuracy = 23.00%
Epoch 0: Loss = 3.2304, Accuracy = 29.00%
Epoch 0: Loss = 3.2070, Accuracy = 31.00%
Epoch 0: Loss = 3.1594, Accuracy = 36.00%
Epoch 0: Loss = 3.2175, Accuracy = 30.00%
Epoch 0: Loss = 3.2979, Accuracy = 22.00%
Epoch 0: Loss = 3.1875, Accuracy = 33.00%
Epoch 0: Loss = 3.1674, Accuracy = 35.00%
Epoch 0: Loss = 3.2475, Accuracy = 27.00%
Epoch 0: Loss = 3.2665, Accuracy = 25.00%
Epoch 0: Loss = 3.2473, Accuracy = 27.00%
Epoch 0: Loss = 3.2374, Accuracy = 28.00%
Epoch 0: Loss = 3.1874, Accuracy = 33.00%
Epoch 0: Loss = 3.2958, Accuracy = 22.00%
Epoch 0: Loss = 3.2478, Accuracy = 27.00%
Epoch 0: Loss = 3.2794, Accuracy = 24.00%
Epoch 0: Loss = 3.2271, Accuracy = 29.00%
Epoch 0: Loss = 3.1770, Accuracy = 34.00%
Epoch 0: Loss = 3.2975, Accuracy = 22.00%
Epoch 0: Loss = 3.3057, Accuracy = 21.00%
Epoch 0: Loss = 3.1977, Accuracy = 32.00%
Epoch 0: Loss = 3.2677, Accuracy = 25.00%
Epoch 0: Loss = 3.2248, Accuracy = 29.00%
Epoch 0: Loss = 3.1981, Accuracy = 32.00%
Epoch 0: Loss = 3.2477, Accuracy = 27.00%
Epoch 0: Loss = 3.2671, Accuracy = 25.00%
Epoch 0: Loss = 3.1975, Accuracy = 32.00%
Epoch 0: Loss = 3.2170, Accuracy = 30.00%
Epoch 0: Loss = 3.2371, Accuracy = 28.00%
Epoch 0: Loss = 3.2774, Accuracy = 24.00%
Epoch 0: Loss = 3.1873, Accuracy = 33.00%
Epoch 0: Loss = 3.3289, Accuracy = 19.00%
Epoch 0: Loss = 3.2551, Accuracy = 26.00%
Epoch 0: Loss = 3.1574, Accuracy = 36.00%
Epoch 0: Loss = 3.2585, Accuracy = 26.00%
Epoch 0: Loss = 3.1873, Accuracy = 33.00%
Epoch 0: Loss = 3.2172, Accuracy = 30.00%
Epoch 0: Loss = 3.2771, Accuracy = 24.00%
Epoch 0: Loss = 3.2579, Accuracy = 26.00%
Epoch 0: Loss = 3.3069, Accuracy = 21.00%
Epoch 0: Loss = 3.2667, Accuracy = 25.00%
Epoch 0: Loss = 3.2585, Accuracy = 26.00%
Epoch 0: Loss = 3.2874, Accuracy = 23.00%
Epoch 0: Loss = 3.1976, Accuracy = 32.00%
Epoch 0: Loss = 3.1964, Accuracy = 32.00%
Epoch 0: Loss = 3.2283, Accuracy = 29.00%
Epoch 0: Loss = 3.2374, Accuracy = 28.00%
Epoch 0: Loss = 3.2284, Accuracy = 29.00%
Epoch 0: Loss = 3.1668, Accuracy = 35.00%
Epoch 0: Loss = 3.2274, Accuracy = 29.00%
Epoch 0: Loss = 3.2415, Accuracy = 28.00%
Epoch 0: Loss = 3.1873, Accuracy = 33.00%
Epoch 0: Loss = 3.2534, Accuracy = 26.00%
Epoch 0: Loss = 3.2374, Accuracy = 28.00%
Epoch 0: Loss = 3.2175, Accuracy = 30.00%
Epoch 0: Loss = 3.2957, Accuracy = 22.00%
Epoch 0: Loss = 3.2818, Accuracy = 24.00%
Epoch 0: Loss = 3.2697, Accuracy = 25.00%
Epoch 0: Loss = 3.2471, Accuracy = 27.00%
Epoch 0: Loss = 3.2474, Accuracy = 27.00%
Epoch 0: Loss = 3.2669, Accuracy = 25.00%
Epoch 0: Loss = 3.1874, Accuracy = 33.00%
Epoch 0: Loss = 3.2373, Accuracy = 28.00%
Epoch 0: Loss = 3.3072, Accuracy = 21.00%
Epoch 0: Loss = 3.2291, Accuracy = 29.00%
Epoch 0: Loss = 3.3168, Accuracy = 20.00%
Epoch 0: Loss = 3.2485, Accuracy = 27.00%
Epoch 0: Loss = 3.2170, Accuracy = 30.00%
Epoch 0: Loss = 3.2367, Accuracy = 28.00%
Epoch 0: Loss = 3.2870, Accuracy = 23.00%
Epoch 0: Loss = 3.2374, Accuracy = 28.00%
Epoch 0: Loss = 3.2063, Accuracy = 31.00%
Epoch 0: Loss = 3.2978, Accuracy = 22.00%
Epoch 0: Loss = 3.2763, Accuracy = 24.00%
Epoch 0: Loss = 3.1478, Accuracy = 37.00%
Epoch 0: Loss = 3.2467, Accuracy = 27.00%
Epoch 0: Loss = 3.2557, Accuracy = 26.00%
Epoch 0: Loss = 3.1474, Accuracy = 37.00%
Epoch 0: Loss = 3.1693, Accuracy = 35.00%
Epoch 0: Loss = 3.1605, Accuracy = 36.00%
Epoch 0: Loss = 3.2706, Accuracy = 25.00%
Epoch 0: Loss = 3.2002, Accuracy = 32.00%
Epoch 0: Loss = 3.1881, Accuracy = 33.00%
Epoch 0: Loss = 3.2575, Accuracy = 26.00%
Epoch 0: Loss = 3.2228, Accuracy = 29.00%
Epoch 0: Loss = 3.2273, Accuracy = 29.00%
Epoch 0: Loss = 3.2674, Accuracy = 25.00%
Epoch 0: Loss = 3.1680, Accuracy = 35.00%
Epoch 0: Loss = 3.2270, Accuracy = 29.00%
Epoch 0: Loss = 3.2172, Accuracy = 30.00%
Epoch 0: Loss = 3.1873, Accuracy = 33.00%
Epoch 0: Loss = 3.2273, Accuracy = 29.00%
Epoch 0: Loss = 3.2076, Accuracy = 31.00%
Epoch 0: Loss = 3.2297, Accuracy = 29.00%
Epoch 0: Loss = 3.1875, Accuracy = 33.00%
Epoch 0: Loss = 3.2972, Accuracy = 22.00%
Epoch 0: Loss = 3.1977, Accuracy = 32.00%
Epoch 0: Loss = 3.2352, Accuracy = 28.00%
Epoch 0: Loss = 3.2574, Accuracy = 26.00%
Epoch 0: Loss = 3.2702, Accuracy = 25.00%
Epoch 0: Loss = 3.1976, Accuracy = 32.00%
Epoch 0: Loss = 3.1968, Accuracy = 32.00%
Epoch 0: Loss = 3.3473, Accuracy = 17.00%
Epoch 0: Loss = 3.1425, Accuracy = 37.00%
Epoch 0: Loss = 3.2475, Accuracy = 27.00%
Epoch 0: Loss = 3.2976, Accuracy = 22.00%
Epoch 0: Loss = 3.2571, Accuracy = 26.00%
Epoch 0: Loss = 3.3272, Accuracy = 19.00%
Epoch 0: Loss = 3.2373, Accuracy = 28.00%
Epoch 0: Loss = 3.2875, Accuracy = 23.00%
Epoch 0: Loss = 3.2201, Accuracy = 30.00%
Epoch 0: Loss = 3.1773, Accuracy = 34.00%
Epoch 0: Loss = 3.2839, Accuracy = 23.00%
Epoch 0: Loss = 3.1962, Accuracy = 32.00%
Epoch 0: Loss = 3.1972, Accuracy = 32.00%
Epoch 0: Loss = 3.2781, Accuracy = 24.00%
Epoch 0: Loss = 3.3345, Accuracy = 18.00%
Epoch 0: Loss = 3.2074, Accuracy = 31.00%
Epoch 0: Loss = 3.2692, Accuracy = 25.00%
Epoch 0: Loss = 3.2395, Accuracy = 28.00%
Epoch 0: Loss = 3.3571, Accuracy = 16.00%
Epoch 0: Loss = 3.1393, Accuracy = 38.00%
Epoch 0: Loss = 3.2361, Accuracy = 28.00%
Epoch 0: Loss = 3.2772, Accuracy = 24.00%
Epoch 0: Loss = 3.1973, Accuracy = 32.00%
Epoch 0: Loss = 3.2447, Accuracy = 28.00%
Epoch 0: Loss = 3.2575, Accuracy = 26.00%
Epoch 0: Loss = 3.2297, Accuracy = 29.00%
Epoch 0: Loss = 3.2662, Accuracy = 25.00%
Epoch 0: Loss = 3.1975, Accuracy = 32.00%
Epoch 0: Loss = 3.2873, Accuracy = 23.00%
Epoch 0: Loss = 3.2972, Accuracy = 22.00%
Epoch 0: Loss = 3.1781, Accuracy = 34.00%
Epoch 0: Loss = 3.2750, Accuracy = 24.00%
Epoch 0: Loss = 3.1683, Accuracy = 35.00%
Epoch 0: Loss = 3.2873, Accuracy = 23.00%
Epoch 0: Loss = 3.2373, Accuracy = 28.00%
Epoch 0: Loss = 3.1388, Accuracy = 38.00%
Epoch 0: Loss = 3.2135, Accuracy = 30.00%
Epoch 0: Loss = 3.2671, Accuracy = 25.00%
Epoch 0: Loss = 3.2068, Accuracy = 31.00%
Epoch 0: Loss = 3.2569, Accuracy = 26.00%
Epoch 0: Loss = 3.1777, Accuracy = 34.00%
Epoch 0: Loss = 3.2175, Accuracy = 30.00%
Epoch 0: Loss = 3.1740, Accuracy = 34.00%
Epoch 0: Loss = 3.2189, Accuracy = 30.00%
Epoch 0: Loss = 3.2383, Accuracy = 28.00%
Epoch 0: Loss = 3.2477, Accuracy = 27.00%
Epoch 0: Loss = 3.1973, Accuracy = 32.00%
Epoch 0: Loss = 3.2824, Accuracy = 23.00%
Epoch 0: Loss = 3.2571, Accuracy = 26.00%
Epoch 0: Loss = 3.2075, Accuracy = 31.00%
Epoch 0: Loss = 3.2490, Accuracy = 27.00%
Epoch 0: Loss = 3.2274, Accuracy = 29.00%
Epoch 0: Loss = 3.3404, Accuracy = 18.00%
Epoch 0: Loss = 3.2758, Accuracy = 24.00%
Epoch 0: Loss = 3.3072, Accuracy = 21.00%
Epoch 0: Loss = 3.1973, Accuracy = 32.00%
Epoch 0: Loss = 3.2216, Accuracy = 30.00%
Epoch 0: Loss = 3.2374, Accuracy = 28.00%
Epoch 0: Loss = 3.3275, Accuracy = 19.00%
Epoch 0: Loss = 3.2828, Accuracy = 23.00%
Epoch 0: Loss = 3.2771, Accuracy = 24.00%
Epoch 0: Loss = 3.1874, Accuracy = 33.00%
Epoch 0: Loss = 3.2469, Accuracy = 27.00%
Epoch 0: Loss = 3.2182, Accuracy = 30.00%
Epoch 0: Loss = 3.2776, Accuracy = 24.00%
Epoch 0: Loss = 3.2523, Accuracy = 27.00%
Epoch 0: Loss = 3.2077, Accuracy = 31.00%
Epoch 0: Loss = 3.2573, Accuracy = 26.00%
Epoch 0: Loss = 3.2476, Accuracy = 27.00%
Epoch 0: Loss = 3.2567, Accuracy = 26.00%
Epoch 0: Loss = 3.1773, Accuracy = 34.00%
Epoch 0: Loss = 3.2875, Accuracy = 23.00%
Epoch 0: Loss = 3.2279, Accuracy = 29.00%
Epoch 0: Loss = 3.2573, Accuracy = 26.00%
Epoch 0: Loss = 3.2574, Accuracy = 26.00%
Epoch 0: Loss = 3.2175, Accuracy = 30.00%
Epoch 0: Loss = 3.2564, Accuracy = 26.00%
Epoch 0: Loss = 3.1572, Accuracy = 36.00%
Epoch 0: Loss = 3.2174, Accuracy = 30.00%
Epoch 0: Loss = 3.1557, Accuracy = 36.00%
Epoch 0: Loss = 3.2672, Accuracy = 25.00%
Epoch 0: Loss = 3.1979, Accuracy = 32.00%
Epoch 0: Loss = 3.2777, Accuracy = 24.00%
Epoch 0: Loss = 3.2083, Accuracy = 31.00%
Epoch 0: Loss = 3.2741, Accuracy = 24.00%
Epoch 0: Loss = 3.2670, Accuracy = 25.00%
